Unnamed: 0,genres,overview
820,[],"['chinese', 'melodrama', 'present', 'allegory', 'tinged', 'feminism', 'it', 's', 'portrayal', 'life', 'free', 'enterprise', 'modern', 'liberalized', 'chinese', 'mountain', 'village', 'wanglai', 'shady', 'town', 'grocer', 'steal', 'stone', 'great', 'wall', 'sell', 'souvenirs']"
833,[],"['shanghai', 'apartment', 'mr', 'hou', 'nationalist', 'official', 'get', 'ready', 'move', 'taiwan', 'upon', 'imminent', 'defeat', 'kmt', 'civil', 'war', 'mr', 'hou', 'give', 'ultimatum', 'rest', 'tenant', 'move', 'behalf', 'husband', 'owner', 'flat', 'planning', 'sell', 'it', 'conversation', 'rest', 'find', 'hou', 'ha', 'hanjian', 'sino', 'japanese', 'war', 'ha', 'since', 'taken', 'apartment', 'force', 'old', 'landlord', 'mr', 'kong', 'tenants', 'including', 'mr', 'kong', 'mr', 'xiao', 'little', 'broadcast', 'alias', 'mr', 'xiao', 'played', 'zhao', 'dan', 'schoolteacher', 'mr', 'hua', 'wife', 'initially', 'plan', 'band', 'together', 'circumstance', 'force', 'find', 'way', 'out', 'mr', 'hua', 'try', 'find', 'place', 'stay', 'kmt', 'sponsored', 'school', 'teaching', 'in', 'little', 'broadcast', 'mr', 'xiao', 'invest', 'black', 'market', 'gold', 'situation', 'escalates', 'mr', 'hua', 'get', 'arrested', 'kmt', 'agent', 'young', 'daughter', 'fall', 'desperately', 'ill']"
839,[],"['three', 'teenage', 'brothers', 'gang', 'member', 'bobby', 'troubled', 'mama', 's', 'boy', 'alan', 'self', 'assured', 'prankster', 'lex', 'reside', 'downtrodden', 'section', 'glasgow', 'scotland', 'circa', 'bobby', 'alan', 'beginning', 'experience', 'power', 'raging', 'hormones', 'story', 'focus', 'lex', 'begin', 'downward', 'spiral', 'accidentally', 'shoot', 'leader', 'bobby', 's', 'gang', 'lex', 's', 'cockiness', 'immaturity', 'unfortunately', 'prevent', 'understanding', 'effect', 'subsequent', 'crime', 'himself', 'around', 'him']"
857,[],"['angel', 'celebrates', 'birth', 'daughter', 'taking', 'first', 'hit', 'crack', 'cocaine', 'hesitant', 'support', 'wife', 'monika', 'join', 'friend', 'deal', 'drug', 'short', 'time', 'enough', 'time', 'get', 'debt', 'buy', 'nice', 'thing', 'family', 'three', 'year', 'later', 'angel', 'still', 'dealing', 'ha', 'saved', 'money', 'instead', 'spending', 'crack', 'addiction', 'grows', 'straining', 'friendship', 'family', 'life', 'gradually', 'loses', 'control']"
862,[],"['sarah', 'single', 'well', 'educated', 'like', 'art', 'place', 'voice', 'ad', 'phone', 'sex', 'inviting', 'reply', 'men', 'sturdy', 'sensual', 'wilbert', 'chubby', 'middle', 'aged', 'architect', 'leaf', 'message', 'thomas', 'well', 'formed', 'week', 'later', 'phones', 'like', 'voice', 'like', 'laugh', 'week', 'phone', 'he', 's', 'know', 'last', 'name', 'lives', 'number', 'portrait', 'emerge', 'humor', 'sadness', 'press', 'detail', 'life', 'tell', 'work', 'want', 'thursday', 'call', 'fantasy', 'release', 'separate', 'rest', 'is', 'film', 'dramatizes', 'tension', 'lie', 'truth', 'connection', 'distance', 'written']"
955,[],"['story', 'harry', 'flint', 'unlikely', 'couple', 'harry', 'shy', 'young', 'gay', 'man', 'can', 't', 'seem', 'fit', 'local', 'bar', 'scene', 'flint', 'crusty', 'older', 'seemingly', 'straight', 'man', 'questionable', 'background', 'meet', 'gorgeous', 'coastline', 'evolve', 'distrust', 'deep', 'love']"
973,[],"['ed', 'life', 'wisconsin', 'he', 's', 'dumped', 'girlfriend', 'move', 'new', 'york', 'city', 'big', 'change', 'but', 'ever', 'find', 'love', 'again', 'love', 'new', 'job', 'studying', 'genetics', 'different', 'strain', 'rice', 'ha', 'good', 'partnership', 'promiscuous', 'roommate', 'ray', 'he', 's', 'made', 'great', 'friends', 'character', 'local', 'diner', 'there', 's', 'natalie', 'lee', 'short', 'ed', 'think', 'he', 's', 'looking', 'for', 'available', 'or', 'she']"
1055,[],"['cio', 'cio', 'san', 'young', 'japanese', 'geisha', 'seek', 'fulfill', 'dream', 'marriage', 'american', 'naval', 'officer', 'faith', 'future', 'shattered', 'empty', 'vow', 'loss', 'endures', 'touch', 'something', 'deep', 'within', 'u', 'all']"
1102,[],"['interview', 'michael', 'moore', 'roger', 'me', 'tradition', 'examine', 'life', 'small', 'town', 'america', 'class', 'conflict', 'collapse', 'upstate', 'new', 'york', 'community', 'dadetown', 'town', 's', 'once', 'prosperous', 'factory', 'reduced', 'manufacture', 'paper', 'clip', 'staples', 'finally', 'closes', 'facing', 'massive', 'unemployment', 'blue', 'collar', 'dadetown', 'resident', 'next', 'find', 'yuppie', 'moving', 'town', 'staff', 'local', 'division', 'big', 'computer', 'outfit']"
1108,[],"['film', 'based', 'jim', 'carroll', 'short', 'story', 'recount', 'tale', 'curtis', 'encounter', 'voodoo', 'curtis', 'drug', 'addict', 'ha', 'become', 'paranoid', 'thinking', 'wife', 's', 'mother', 'ha', 'cast', 'evil', 'spell', 'him', 'meet', 'friend', 'jim', 'asks', 'help', 'counteracting', 'black', 'magic', 'jim', 'try', 'reason', 'friend', 'fails', 'decides', 'play', 'along', 'make', 'talisman', 'drawing', 'snake', 'scrap', 'paper', 'mumbling', 'incantation', 'jim', 'give', 'charm', 'immediately', 'solves', 'curtis', 's', 'problems', 'or', 'doe', 'it']"
